id,name,country,deadline,description,url
1,King Abdullah Scholarship Program,Saudi Arabia,2025-12-31,"Fully funded scholarship for bachelor's, master's, and PhD at top Saudi universities. Includes monthly stipend, accommodation, and health insurance.","https://www.moe.gov.sa/en/Pages/default.aspx"
2,KAUST Scholarship,Saudi Arabia,2025-10-15,"Full scholarship for graduate studies at King Abdullah University of Science and Technology. Covers tuition, housing, and generous stipend.","https://www.kaust.edu.sa/en/study"
3,Islamic Development Bank Scholarship,Saudi Arabia,2025-09-30,"Scholarships for Muslim students from member countries to study at top universities worldwide.","https://www.isdb.org/scholarships"
4,Prince Mohammad Bin Fahd University Scholarships,Saudi Arabia,2025-08-01,"Partial and full scholarships for international students. Covers up to 100% of tuition fees.","https://www.pmu.edu.sa"
5,Alfaisal University Scholarships,Saudi Arabia,2025-07-15,"Merit-based scholarships for outstanding international students. Tuition fee reduction up to 50%.","https://www.alfaisal.edu"
6,DAAD Scholarships,Germany,2025-10-15,"For postgraduate studies in Germany. Open to all disciplines. Monthly stipend and travel allowance.","https://www.daad.de/en/study-and-research-in-germany/scholarships/"
7,Chevening Scholarships,UK,2025-11-07,"UK government scholarship for future leaders. Fully funded one-year master's degree.","https://www.chevening.org/scholarships/"
8,Commonwealth Scholarships,UK,2025-09-30,"For students from Commonwealth countries. Covers tuition, living allowance, and travel.","https://cscuk.fcdo.gov.uk/about-us/scholarships/"
9,MPOWER Financing MBA Scholarship,USA,2025-08-01,"For international students in USA. Up to $20,000 award.","https://www.mpowerfinancing.com/scholarships/mba/"
10,Fulbright Foreign Student Program,USA,2025-10-10,"For graduate students, young professionals, and artists from abroad to study in the USA.","https://fulbright.state.gov"
11,Erasmus Mundus Joint Masters,Europe,2025-06-30,"Fully funded master's programmes at multiple European universities.","https://erasmus-plus.ec.europa.eu/opportunities/individuals/students/erasmus-mundus-joint-masters"
12,Swedish Institute Scholarships,Sweden,2025-05-20,"Full tuition and living cost for master's studies in Sweden.","https://si.se/en/apply/scholarships/"
13,Gates Cambridge Scholarships,UK,2025-04-15,"Full scholarships for outstanding applicants from outside the UK.","https://www.gatescambridge.org/"
14,AAUW International Fellowships,USA,2025-03-10,"For women pursuing full-time graduate or postdoctoral studies.","https://www.aauw.org/resources/programs/fellowships-grants/"
15,Vanier Canada Graduate Scholarships,Canada,2025-06-15,"For doctoral students. Worth $50,000 CAD per year for three years.","https://vanier.gc.ca"
16,Canada Graduate Scholarships,Canada,2025-05-01,"For master's and doctoral students at Canadian universities.","https://www.nserc-crsng.gc.ca"
17,University of Melbourne Scholarships,Australia,2025-09-30,"Graduate research scholarships for international students.","https://scholarships.unimelb.edu.au"
18,Australian Awards,Australia,2025-08-15,"Scholarships for students from developing countries to study in Australia.","https://www.dfat.gov.au/people-to-people/australia-awards"
19,Orange Knowledge Programme,Netherlands,2025-07-15,"Scholarships for mid-career professionals from selected countries.","https://www.studyinholland.nl/finances/orange-knowledge-programme"
20,University of Twente Scholarships,Netherlands,2025-06-01,"Scholarships for outstanding international students.","https://www.utwente.nl/scholarships"
21,Turkiye Burslari Scholarships,Turkey,2025-08-20,"Fully funded scholarships for international students to study in Turkey.","https://turkiyeburslari.gov.tr"
22,Sultan Qaboos University Scholarships,Oman,2025-07-10,"Fully funded scholarships for master's and PhD at SQU.","https://www.squ.edu.om"
23,United Arab Emirates University Scholarships,UAE,2025-08-01,"Scholarships for international students at UAEU.","https://www.uaeu.ac.ae"
24,Khalifa University Scholarships,UAE,2025-07-15,"Full scholarships for graduate studies in engineering and science.","https://www.ku.ac.ae"
25,Hamad Bin Khalifa University Scholarships,Qatar,2025-08-01,"Full scholarships for Qatari and international students.","https://www.hbku.edu.qa"
26,Qatar University Scholarships,Qatar,2025-07-20,"Scholarships for international students at QU.","https://www.qu.edu.qa"
27,University of Johannesburg Scholarships,South Africa,2025-09-30,"Merit-based scholarships for international students.","https://www.uj.ac.za"
28,University of Cape Town Scholarships,South Africa,2025-08-31,"Scholarships for undergraduate and postgraduate studies.","https://www.uct.ac.za"
29,Mastercard Foundation Scholars Program,Global,2025-12-31,"Full scholarship for African students at partner universities.","https://mastercardfdn.org/all/scholars/"
30,University of Nairobi Scholarships,Kenya,2025-10-15,"Partial and full scholarships for Kenyan students.","https://www.uonbi.ac.ke"
31,University of Ghana Scholarships,Ghana,2025-09-15,"Scholarships for undergraduate and graduate students.","https://www.ug.edu.gh"
32,Rhodes Scholarships,Global,2025-09-30,"Fully funded scholarships for international students to study at Oxford University.","https://www.rhodeshouse.ox.ac.uk"
