title,company,description,url,location
Frontend Developer,RemoteTech Inc,"Build responsive UIs with React and Tailwind CSS. Remote position.","https://example.com/frontend","Remote"
Backend Engineer,DataCore,"Python, Django, REST APIs. Join our backend team.","https://example.com/backend","Lagos"
Full Stack Developer,StartupHub,"React, Node.js, MongoDB. Early stage startup.","https://example.com/fullstack","Abuja"
DevOps Engineer,CloudScale,"AWS, Kubernetes, Terraform. Remote friendly.","https://example.com/devops","Remote"
Data Scientist,AI Innovations,"Machine learning, NLP, Python. Research oriented.","https://example.com/datascientist","Kano"
Product Manager,Microsoft,"Lead product strategy for Azure. Onsite/Redmond.","https://careers.microsoft.com/productmanager","Remote"
Software Engineer,Microsoft,"C#, .NET, Azure. Redmond, WA.","https://careers.microsoft.com/swe","Remote"
Mobile Developer,AngelList Startup,"iOS/Android, Flutter. Fully remote.","https://wellfound.com/mobile","Remote"
Security Analyst,SecureNet,"Cybersecurity, SIEM, compliance. Remote possible.","https://example.com/security","Lagos"
QA Engineer,TestMasters,"Selenium, JUnit, manual testing. Hybrid.","https://example.com/qa","Abuja"
Technical Writer,DocuFlow,"API documentation, Markdown. Remote.","https://example.com/techwriter","Remote"
Salesforce Developer,CloudCRM,"Apex, Lightning Web Components. Remote.","https://example.com/salesforce","Remote"
Machine Learning Engineer,DeepLearn,"TensorFlow, PyTorch, MLOps. Startup.","https://example.com/mle","Kano"
Site Reliability Engineer,Reliably,"Go, Prometheus, Linux. Remote worldwide.","https://example.com/sre","Remote"
UX Designer,CreativeMinds,"Figma, user research. Remote.","https://example.com/ux","Remote"
Blockchain Developer,CryptoStart,"Solidity, Web3, Ethereum. Remote.","https://example.com/blockchain","Remote"
Game Developer,PixelForge,"Unity, C#. Onsite in Austin.","https://example.com/gamedev","Abuja"
IT Support Specialist,HelpDeskPro,"Windows, Mac, ticketing systems. Remote.","https://example.com/itsupport","Lagos"
Marketing Manager,BrandBoost,"SEO, content strategy. Remote.","https://example.com/marketing","Remote"
HR Generalist,PeopleFirst,"Recruiting, onboarding. Hybrid.","https://example.com/hr","Abuja"
